
T=562,5us

0 ... 1T high 1T low
1 ... 1T high 3T low


start
16T high
 8T  low

power:    01001011 11111000 00000000 00100000 x
display:  01001011 00110110 10101010 01010101 x

bd/dvd:   01001011 00110110 00110001 11001110 x
vcr/vdr:  01001011 10110110 11110000 00001111 x
cbl/sat:  01001011 10110110 01110000 10001111 x
game:     01001011 10110110 10110000 01001111 x
aux:      01001011 10110110 11111001 00000110 x
am:       01001011 10110110 11100010 00011101 x
fm:       01001011 10110110 10010000 01101111 x
tv/cd:    01001011 10110110 10010000 01101111 x
tone:     01001011 00110110 10010010 01101101 x
usb:      01001011 00110101 01111001 10000110 x
mute:     01001011 10110110 10100000 01011111 x

+:        01001011 00110110 00000010 11111101 x
-:        01001011 00110110 10000010 01111101 x
ch+:      01001011 10110110 00000000 11111111 x
ch-:      01001011 10110110 10000000 01111111 x
vol+:     01001011 10110110 01000000 10111111 x
vol-:     01001011 10110110 11000000 00111111 x

sp a/b:   01001011 11111000 00000000 01110010 x
setup:    01001011 11111000 00000000 10110010 x
home:     01001011 11111000 00000000 10101010 x
return:   01001011 11111000 00000000 10010000 x
menu:     01001011 11111000 00000000 11110010 x
up:       01001011 11111000 00000000 00001010 x
down:     01001011 11111000 00000000 10001010 x
left:     01001011 11111000 00000000 01001010 x
right:    01001011 11111000 00000000 11001010 x
enter:    01001011 11111000 00000000 00010000 x

|<<:      01001011 00110100 01111000 10000111 x
>>|:      01001011 00110100 10111000 01000111 x
<<:       01001011 00110100 10000000 01111111 x
>:        01001011 00110100 11011000 00100111 x
>>:       01001011 00110100 00000000 11111111 x
||:       01001011 00110100 11111000 00000111 x
[]:       01001011 00110100 00111000 11000111 x

movie/tv: 01001011 11111000 00000000 01100011 x
music:    01001011 11111000 00000000 11100011 x
game:     01001011 11111000 00000000 00010011 x
stereo:   01001011 11111000 00000000 10010011 x

1:        01001011 01000000 10101011 01010100 x
2:        01001011 01000000 01101011 10010100 x
3:        01001011 01000000 11101011 00010100 x
4:        01001011 01000000 00011011 11100100 x
5:        01001011 01000000 10011011 01100100 x
6:        01001011 01000000 01011011 10100100 x
7:        01001011 01000000 11011011 00100100 x
8:        01001011 01000000 00111011 11000100 x
9:        01001011 01000000 10111011 01000100 x
0:        01001011 01000000 01111011 10000100 x
+10:      01001011 01000000 00001011 11110100 x
clr:      01001011 01000000 10001011 01110100 x
